"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status"
"2524","Mugil","MT_20",2033,3405.62508501435,1718.74417421198,6705.18642717252,1.20441135719663e-13,4.55005129833744e-17,2.55426622873838e-09,"No MPA"
"2525","Mugil","MT_20",2034,3405.62810943153,1723.20169891195,6705.18642860631,1.74710828262444e-14,4.63566053304031e-18,5.29836594314333e-10,"No MPA"
"2526","Mugil","MT_20",2035,3405.62942346771,1725.86128729172,6705.18642891519,2.53433663235542e-15,4.71464342467162e-19,1.09905073048972e-10,"No MPA"
"2527","Mugil","MT_40",2015,1450.15270975486,121.897146025047,1165.65666472992,54.0721510047606,2.08400853845221,1402.95728859769,"No MPA"
"2528","Mugil","MT_40",2016,1959.89483698397,168.212367847338,1687.49628379133,12.5459461585931,0.32959715715989,259.251114795377,"No MPA"
"2529","Mugil","MT_40",2017,2521.40786189711,230.940531332901,2637.78077862303,2.88405302574246,0.0526617599891064,93.7775643968466,"No MPA"
"2530","Mugil","MT_40",2018,3046.37423050348,314.173978515791,3986.3510373212,0.631096814918157,0.00837115711784109,36.6270837174282,"No MPA"
"2531","Mugil","MT_40",2019,3454.79492246312,422.089476891441,5536.58008338668,0.129694054963023,0.00131857218976661,13.8308430081971,"No MPA"
"2532","Mugil","MT_40",2020,3718.27231213569,557.796669017031,6858.97779172071,0.0250175167294116,0.000205110179505414,4.79983614353136,"No MPA"
"2533","Mugil","MT_40",2021,3863.1275829254,721.717568583051,7608.60298324173,0.00457982612797661,3.13840060412292e-05,1.48579143391109,"No MPA"
"2534","Mugil","MT_40",2022,3934.38255792681,909.713744301064,7879.80101467034,0.000809343976951181,4.70165174453949e-06,0.411830104052182,"No MPA"
"2535","Mugil","MT_40",2023,3967.25128926021,1111.84571012084,7950.57238472667,0.000140202955832419,6.86182658735419e-07,0.106572099700504,"No MPA"
"2536","Mugil","MT_40",2024,3981.92822592082,1313.11451359842,7966.65784865075,2.40467774744224e-05,9.71029613051043e-08,0.0268684043572047,"No MPA"
"2537","Mugil","MT_40",2025,3988.38309114334,1496.9864734756,7970.1783375471,4.10532208380275e-06,1.32783673655571e-08,0.00672720831692416,"No MPA"
"2538","Mugil","MT_40",2026,3991.20259601945,1650.54121963852,7970.94267832504,6.99418839288981e-07,1.75273049732581e-09,0.00168167468358008,"No MPA"
"2539","Mugil","MT_40",2027,3992.43046033438,1768.22403678832,7971.10846948042,1.19050409397502e-07,2.23758589828569e-10,0.00042024143470557,"No MPA"
"2540","Mugil","MT_40",2028,3992.96447822207,1851.91343004502,7971.14445724092,2.02558813206767e-08,2.77553932442912e-11,0.00010500818234843,"No MPA"
"2541","Mugil","MT_40",2029,3993.19659789877,1907.99601484414,7971.15227861793,3.44584624588604e-09,3.36579772035161e-12,2.62385807017639e-05,"No MPA"
"2542","Mugil","MT_40",2030,3993.2974673533,1943.98189217152,7971.15398100116,5.86148700977506e-10,4.01515535089927e-13,6.55625751390775e-06,"No MPA"
"2543","Mugil","MT_40",2031,3993.34129622086,1966.39770995753,7971.15435217048,9.97023611158627e-11,4.73668901245918e-14,1.63821664291798e-06,"No MPA"
"2544","Mugil","MT_40",2032,3993.36033943899,1980.09401179959,7971.15443325277,1.69588686349742e-11,5.54768651971517e-15,4.09342268092173e-07,"No MPA"
"2545","Mugil","MT_40",2033,3993.36861336311,1988.36185539648,7971.15445100387,2.88460009473315e-12,6.46821337832486e-16,1.02282617548392e-07,"No MPA"
"2546","Mugil","MT_40",2034,3993.37220819726,1993.31579413221,7971.15445489958,4.90651555015857e-13,7.52059105356914e-17,2.55574236645325e-08,"No MPA"
"2547","Mugil","MT_40",2035,3993.37377006588,1996.27076129299,7971.15445575687,8.34565133679701e-14,8.72952694630632e-18,6.38604993584588e-09,"No MPA"
"2548","Mugil","MT_60",2015,1658.20345192743,138.563035589324,1132.40661094957,69.8513034493354,2.75773528116614,1769.26551303416,"No MPA"
"2549","Mugil","MT_60",2016,2233.26903511874,191.094155949664,1596.0242134844,18.1989078960811,0.49950720964038,312.551037154444,"No MPA"
"2550","Mugil","MT_60",2017,2866.66345606186,262.343529724891,2502.52800969142,4.71235781073919,0.0915994016059304,122.455467129411,"No MPA"
"2551","Mugil","MT_60",2018,3457.09987552734,356.926220163484,3863.3186871758,1.16296125616122,0.0167211756132272,53.3751337244163,"No MPA"
"2552","Mugil","MT_60",2019,3914.54534810978,479.594364420828,5561.88480783587,0.269645572500556,0.00302500851680511,22.9057040983337,"No MPA"
"2553","Mugil","MT_60",2020,4208.41804374609,633.908967316038,7201.43117819197,0.0587025133263872,0.00054047366720197,9.16706638195293,"No MPA"
"2554","Mugil","MT_60",2021,4369.45699052114,820.391760498324,8295.99204215414,0.012133580966182,9.4990563411099e-05,3.29954907775911,"No MPA"
"2555","Mugil","MT_60",2022,4448.51044543294,1034.38845058943,8762.24051603895,0.00242210379532672,1.63466551981714e-05,1.05665426226119,"No MPA"
"2556","Mugil","MT_60",2023,4484.93674164246,1264.63997203387,8896.73191294252,0.000474105791904494,2.74060472383015e-06,0.310248120286389,"No MPA"
"2557","Mugil","MT_60",2024,4501.19373957568,1494.0976885188,8928.4387803789,9.18993471349738e-05,4.45539215772559e-07,0.0875697425774377,"No MPA"
"2558","Mugil","MT_60",2025,4508.34181129143,1703.90993920792,8935.46167536456,1.77328814213842e-05,6.99931402936658e-08,0.0244302952215289,"No MPA"
"2559","Mugil","MT_60",2026,4511.46378233268,1879.28508729279,8936.99697027077,3.41478965759396e-06,1.06140624045845e-08,0.00679672684786962,"No MPA"
"2560","Mugil","MT_60",2027,4512.82330481833,2013.80096022079,8937.33250361928,6.56992062603232e-07,1.55663600324869e-09,0.00188974873296827,"No MPA"
