"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"1378","Panulirus","MT_40",2034,416.387753317343,132.063287595759,1248.46332860157,24.7258155259635,5.14606324105257,133.070903302116,"MPA 2015",0.0606833842868319
"1379","Panulirus","MT_40",2035,420.164030039119,133.134651222654,1257.26668800277,24.4436486530663,5.07850657705134,131.243441612158,"MPA 2015",0.0593836020353695
"1380","Panulirus","MT_60",2015,246.663534062615,129.550808052084,425.591612183587,21.5951082776717,8.08315640029385,57.6939414085423,"MPA 2015",0.0947921762043626
"1381","Panulirus","MT_60",2016,265.45538673099,129.576713485699,515.410503602124,22.7897067309309,7.87777188828195,68.9088663012348,"MPA 2015",0.0927613974909992
"1382","Panulirus","MT_60",2017,283.908384266423,129.762121726843,613.698592613324,23.914613817617,7.69158097522619,81.1758309361277,"MPA 2015",0.0907741592659658
"1383","Panulirus","MT_60",2018,301.75911651543,130.085039702356,716.561958949501,24.9525246124588,7.52180649410219,94.0834415144508,"MPA 2015",0.0888295266780385
"1384","Panulirus","MT_60",2019,318.783569945441,130.527551924081,818.948719934419,25.8892674873045,7.36611557116375,107.058586385337,"MPA 2015",0.0869265846086691
"1385","Panulirus","MT_60",2020,334.811645206326,131.07485678387,915.654509885424,26.7144951815159,7.22253384373382,119.435669817307,"MPA 2015",0.085064437330061
"1386","Panulirus","MT_60",2021,349.733324473722,131.714507181247,1002.51187581728,27.4220214342592,7.08937946769753,130.571200966951,"MPA 2015",0.0832422081776953
"1387","Panulirus","MT_60",2022,363.496572427509,132.435827713107,1077.15874364408,28.009788200183,6.96521176817771,139.968845590235,"MPA 2015",0.0814590392291801
"1388","Panulirus","MT_60",2023,376.099218409615,133.229478976973,1139.09559513402,28.4795057215622,6.84879085696179,147.366203264276,"MPA 2015",0.0797140909823654
"1389","Panulirus","MT_60",2024,387.577872339604,134.087139881111,1189.23023942174,28.8360502638798,6.73904555254886,152.750261648595,"MPA 2015",0.0780065420276119
"1390","Panulirus","MT_60",2025,397.996478247268,135.001281267577,1229.26603822966,29.0867245410592,6.63504764705887,156.305358101016,"MPA 2015",0.076335588711435
"1391","Panulirus","MT_60",2026,407.436108159018,135.965007907282,1261.17050220738,29.2404835493252,6.53599106738242,158.327571300636,"MPA 2015",0.0747004447909748
"1392","Panulirus","MT_60",2027,415.986673027634,136.971950180359,1286.81742398972,29.3072093813055,6.44117484030126,159.143509600986,"MPA 2015",0.0731003410805272
